------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HEADER,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Company,:,WHITE,OAK,ENERGY,,,,,,,,,,,,,,
Field,:,Wharton,"County,",TX,(NAD27),TXSCZ,,,,,,,,,,,,
Site,:,HC,Cockburn,#196,,,,,,,,,,,,,,
Well,Name,:,#196,,,,,,,,,,,,,,,
------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WELL,INFORMATION,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
API,number,:,,,,,,,,,,,,,,,,
Engineer,:,,,,,,,,,,,,,,,,,
State,:,,,,,,,,,,,,,,,,,
County,:,,,,,,,,,,,,,,,,,
Depth,Unit,:,usft,,,,,,,,,,,,,,,
Datum,elevation,:,87.8,,,,,,,,,,,,,,,
VSect.,Azimuth,:,157.05,,,,,,,,,,,,,,,
VSect.,North,:,0,,,,,,,,,,,,,,,
VSect.,East,:,0,,,,,,,,,,,,,,,
Survey,Name,:,Plan,#8,,,,,,,,,,,,,,
Survey,Date,:,1/1/1990,,,,,,,,,,,,,,,
Geomagnetic,Date:,1/3/2018,,,,,,,,,,,,,,,,
Extract,Date,:,5-Jan-18,,,,,,,,,,,,,,,
------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Seq,Measured,Incl,Azimuth,Course,TVD,Vertical,Displ,Displ,Total,At,DLS,X,Y,Survey,Tool,,
,#,depth,angle,angle,length,depth,section,+N/S-,+E/W-,displ,Azim,(deg/,,,,,,
,-,(ft),(deg),(deg),(ft),(ft),(ft),(ft),(ft),(ft),(deg),100ft),(ft),(ft),,,,
,,,,,,,,,,,,,,,,,,
,1,0,0,0,0,0,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,2,100,0,0,100,100,0,0,0,0,0,0,2943585.413,E,488940.822,N,UNDEFINED,-1
,3,200,0,0,100,200,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,4,300,0,0,100,300,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,5,400,0,0,100,400,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,6,500,0,0,100,500,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,7,600,0,0,100,600,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,8,700,0,0,100,700,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,9,800,0,0,100,800,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,10,900,0,0,100,900,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,11,1000,0,0,100,1000,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,12,1100,0,0,100,1100,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,13,1200,0,0,100,1200,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,14,1300,0,0,100,1300,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,15,1400,0,0,100,1400,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,16,1500,0,0,100,1500,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,17,1600,0,0,100,1600,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,18,1700,0,0,100,1700,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,19,1800,0,0,100,1800,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,20,1900,0,0,100,1900,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,21,2000,0,0,100,2000,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,22,2100,0,0,100,2100,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,23,2200,0,0,100,2200,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,24,2300,0,0,100,2300,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
,25,2400,0,0,100,2400,0,0,0,0,0,0,2943585.413,E,488940.822,N,,
